number	gene_id	gene_abbreviation	gene_name	process	sub_process	aliphatic	indolic	notes
1	AT5G23010	MAM1	methylthioalkylmalate synthase 1	Biosynthesis	Side-Chain Elongation	yes	no	
2	AT5G23020	MAM3	methylthioalkylmalate synthase 3	Biosynthesis	Side-Chain Elongation	yes	no	
3	AT3G49680	BCAT3	branched-chain amino acid aminotransferase 3	Biosynthesis	Side-Chain Elongation	yes	no	
4	AT3G19710	BCAT4	branched-chain amino acid aminotransferase 4	Biosynthesis	Side-Chain Elongation	yes	no	
5	AT1G50110	BCAT6	branched-chain amino acid aminotransferase 6	Biosynthesis	Side-Chain Elongation	yes	no	
6	AT3G58990	IPMI1	isopropylmalate isomerase small subunit 1	Biosynthesis	Side-Chain Elongation	yes	no	
7	AT4G13430	IIL1	isopropylmalate isomerase large subunit 1	Biosynthesis	Side-Chain Elongation	yes	no	
8	AT2G43100	IPMI2	isopropylmalate isomerase small subunit 2	Biosynthesis	Side-Chain Elongation	yes	no	
9	AT5G14200	IMDH1	isopropylmalate dehydrogenase 1	Biosynthesis	Side-Chain Elongation	yes	no	
10	AT1G16410	CYP79F1	cytochrome P450 79F1	Biosynthesis	Core Structure Synthesis	yes	no	
11	AT4G13770	CYP83A1	"cytochrome p450, family 83, subfamily a, polypeptide 1"	Biosynthesis	Core Structure Synthesis	yes	no	
12	AT1G16400	CYP79F2	cytochrome P450 79F2	Biosynthesis	Core Structure Synthesis	yes	no	
13	AT5G05260	CYP79A2	phenylalanine N-monooxygenase	Biosynthesis_maybe	Core Structure Synthesis			"metabolizes L-Phe, precursor to benzyl GSL, and not L-met/L-trp/L-tyr (https://www.wikigenes.org/e/gene/e/830408.html)"
14	AT4G39950	CYP79B2	tryptophan N-monooxygenase 1	Biosynthesis	Core Structure Synthesis	no	yes	
15	AT2G22330	CYP79B3	tryptophan N-monooxygenase 2	Biosynthesis	Core Structure Synthesis	no	yes	
16	AT4G31500	CYP83B1	CYP83B1 monooxygenase	Biosynthesis	Core Structure Synthesis	no	yes	
17	AT1G79370	CYP79C1	cytochrome P450 79C1	Biosynthesis	Core Structure Synthesis	yes	no	
18	AT1G58260	CYP79C2	cytochrome P450 79C2	Biosynthesis	Core Structure Synthesis	yes	no	
19	AT2G46650	CYTB5C	cytochrome B5 isoform C	Biosynthesis	Core Structure Synthesis			"coexpressed with biosynthetic genes and affects long chain GSLs, but mode of action remains unknown [citation in Harun et al.]"
20	AT4G30530	GGP1	gamma-glutamyl peptidase 1	Biosynthesis	Core Structure Synthesis	yes	yes	
21	AT2G30860	GSTF9	glutathione S-transferase F9	Biosynthesis	Core Structure Synthesis	no	yes	
22	AT2G30870	GSTF10	glutathione S-transferase F10	Biosynthesis	Core Structure Synthesis	no	yes	
23	AT3G03190	GSTF11	glutathione S-transferase F11	Biosynthesis	Core Structure Synthesis	yes	no	
24	AT1G27130	GSTU13	glutathione S-transferase U13	Biosynthesis_maybe	Core Structure Synthesis			"authors postulate: ""GSTU13 connects GSH with the pathogen-triggered PEN2 pathway for IG metab"" [citation in Harun et al.]"
25	AT1G78370	GSTU20	glutathione S-transferase U20	Biosynthesis	Core Structure Synthesis	yes	no	
26	AT2G20610	SUR1	S-alkyl-thiohydroximate lyase SUR1	Biosynthesis	Core Structure Synthesis	yes	yes	
27	AT1G24100	UGT74B1	UDP-glycosyltransferase 74B1	Biosynthesis	Core Structure Synthesis	yes	yes	
28	AT2G31790	UGT74C1	UDP-glycosyltransferase 74C1	Biosynthesis	Core Structure Synthesis	yes	no	
29	AT1G74100	SOT16	cytosolic sulfotransferase 16	Biosynthesis	Core Structure Synthesis	yes	yes	
30	AT1G18590	SOT17	cytosolic sulfotransferase 17	Biosynthesis	Core Structure Synthesis	yes	no	
