gwas.filename	lambda	p0	p005	p010	p015	p020	p025	p030	p035	p040	p045	p050	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p85	p90	p95	p100
/Volumes/Seagate5TB_storage/TOUA_glucs/_katz_full_moved/blup_indolic_assoc//lmm_maf03_BlupGI3M.assoc.fixed.txt	1.01806513837413	3.067787e-07	0.00493675	0.00979297	0.014779745	0.0197524552	0.024915835	0.0301803888	0.03523321	0.0405485624	0.045454581	0.05022865	0.099826108	0.14967214	0.1994495	0.249827	0.29915006	0.3484585	0.39784642	0.44631618	0.4961532	0.54479872	0.59455614	0.6443298	0.6953262	0.7453387	0.79619448	0.84680066	0.8977016	0.949012080000001	0.9999996
/Volumes/Seagate5TB_storage/TOUA_glucs/_katz_N192_moved/blup_indolic_assoc//lmm_maf03_N192_BlupGI3M.assoc.fixed.txt	1.02825943635775	1.284924e-08	0.003566304	0.008436021	0.01340489	0.0182819196	0.0234193365	0.02826944	0.03362519275	0.03853021	0.0431579209	0.04809503	0.09789818	0.146246	0.1951786	0.24514	0.29540171	0.3451448	0.39475652	0.4437416	0.4940044	0.5452885	0.596557	0.647953705	0.69744467	0.7482403	0.7994922	0.850747145	0.90106915	0.9507109	0.9999998
/Volumes/Seagate5TB_storage/TOUA_glucs/output_gwas_assocs_lmm/brachi_full/blup_aliphatic_assoc//lmm_maf03_BlupG2H3B.assoc.fixed.txt	0.958899382456654	1.862087e-30	0.003438919575	0.007523907	0.01241992	0.017042305	0.02258456875	0.027721989	0.03287887	0.038145594	0.04386849	0.04853707	0.100564	0.153844075	0.2049029	0.2549622	0.306198	0.356996	0.4079618	0.4595595	0.5089437	0.5580611	0.6071974	0.6556446	0.7050368	0.75399925	0.8041492	0.8532785	0.90210545	0.9507897	1
/Volumes/Seagate5TB_storage/TOUA_glucs/output_gwas_assocs_lmm/brachi_full/blup_aliphatic_assoc//lmm_maf03_BlupG2H4P.assoc.fixed.txt	0.916125163652739	1.099515e-23	0.001836138425	0.00591749005	0.01080994	0.01602762	0.02085659	0.02643885	0.03167108	0.036950118	0.0424344	0.04830265	0.10358165	0.15865725	0.2129596	0.266698425	0.3180678	0.368988675	0.4188066	0.469940775	0.5185488	0.56650695	0.614876	0.663597975	0.7118153	0.7607992	0.8092691	0.856927225	0.90443605	0.9516219	0.9999991
/Volumes/Seagate5TB_storage/TOUA_glucs/output_gwas_assocs_lmm/brachi_full/blup_aliphatic_assoc//lmm_maf03_BlupG2P.assoc.fixed.txt	0.958811351722491	5.06948e-26	0.00349589455	0.00834727685	0.013210139	0.01836545	0.02328293	0.0287925085	0.03416221	0.039490206	0.04444085	0.04945428	0.1018569	0.1530907	0.2043972	0.255733025	0.3072324	0.3565176	0.4066222	0.458452	0.50896315	0.55912885	0.6090214	0.6596899	0.70843375	0.7571157	0.8061544	0.8544936	0.9038081	0.9522766	0.9999957
/Volumes/Seagate5TB_storage/TOUA_glucs/output_gwas_assocs_lmm/brachi_full/blup_aliphatic_assoc//lmm_maf03_BlupG3B.assoc.fixed.txt	0.957386469013411	5.719099e-16	0.0031998415	0.00760361985	0.01269136	0.01798488	0.0235016375	0.0290837025	0.03409380425	0.039480116	0.0446136955	0.04997618	0.1015027	0.1534027	0.2045901	0.255676675	0.30702755	0.359015775	0.4087895	0.459563625	0.50927815	0.5587584	0.6084071	0.6575401	0.7079624	0.7575526	0.8060497	0.85462215	0.9035237	0.9520331	0.9999979
/Volumes/Seagate5TB_storage/TOUA_glucs/output_gwas_assocs_lmm/brachi_full/blup_aliphatic_assoc//lmm_maf03_BlupG3HP.assoc.fixed.txt	0.898917788767674	6.362232e-82	0.002722436	0.007692054	0.01337455	0.0194441	0.02538813	0.03115046	0.03691993	0.04309697	0.04909371	0.05471723	0.1114454	0.1658407	0.2194933	0.2735556	0.3238438	0.3749831	0.424546	0.4743935	0.5225027	0.5710467	0.6207967	0.66835735	0.7156222	0.76322765	0.810971	0.8591432	0.9061156	0.9534471	0.9999992
/Volumes/Seagate5TB_storage/TOUA_glucs/output_gwas_assocs_lmm/brachi_full/blup_aliphatic_assoc//lmm_maf03_BlupG3MSP.assoc.fixed.txt	0.957332443864146	2.675759e-12	0.002555220525	0.00732425615	0.01248484	0.018282603	0.02334289625	0.02869615	0.034303543	0.03985917	0.04512003	0.05082218	0.1056801	0.1590215	0.2103443	0.260889425	0.31184675	0.360692	0.409346	0.4593203	0.5092901	0.558801525	0.6070271	0.655449	0.7039234	0.751536375	0.8014301	0.8507577	0.90127385	0.9501622	0.9999993
/Volumes/Seagate5TB_storage/TOUA_glucs/output_gwas_assocs_lmm/brachi_full/blup_aliphatic_assoc//lmm_maf03_BlupG3MTP.assoc.fixed.txt	0.973380468726908	3.040705e-10	0.00211676	0.00575723415	0.01017599	0.01444015	0.01892943375	0.023436242	0.02798629	0.03320421	0.03853096	0.04379601	0.09832212	0.151137175	0.202865	0.25443125	0.3060894	0.355876	0.4058213	0.4554069	0.5057615	0.5562876	0.6056309	0.6557389	0.7051558	0.755027675	0.8035528	0.853402725	0.90365325	0.9510902	1
/Volumes/Seagate5TB_storage/TOUA_glucs/output_gwas_assocs_lmm/brachi_full/blup_aliphatic_assoc//lmm_maf03_BlupG4HB.assoc.fixed.txt	0.93553688990936	7.27493e-11	0.0018220716	0.005651384	0.01005219	0.01478524	0.01978594	0.025248467	0.03069086	0.03601969	0.04125889	0.04662231	0.1033784	0.1598255	0.2132407	0.2663881	0.3176169	0.3679613	0.417416	0.466457325	0.51415105	0.5623557	0.6104236	0.65884185	0.7076106	0.756942	0.8053842	0.854181825	0.9029077	0.951948	0.9999997
