gwas.filename	lambda	p0	p005	p010	p015	p020	p025	p030	p035	p040	p045	p050	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p85	p90	p95	p100
/Volumes/Seagate5TB_storage/TOUA_glucs/output_gwas_assocs_lmm/toua_FrachonGeno/blup_aliphatic_assoc//lmm_maf03_BlupG2H3B.assoc.fixed.txt	0.932046436647	7.62724e-10	0.00377328948	0.00938195188	0.0150442552	0.0208259476	0.02666874	0.032288578	0.037831368	0.0433278244	0.048951162	0.05431021	0.10826102	0.16115568	0.21314142	0.2644289	0.31518384	0.36490384	0.41487856	0.46508402	0.514937	0.56461572	0.61411556	0.6631333	0.71140216	0.7588818	0.80663202	0.8550089	0.9036464	0.95170852	0.9999983
/Volumes/Seagate5TB_storage/TOUA_glucs/output_gwas_assocs_lmm/toua_FrachonGeno/blup_aliphatic_assoc//lmm_maf03_BlupG2H4P.assoc.fixed.txt	0.927972007073986	2.091841e-12	0.0017119292	0.0065751564	0.0123616388	0.0181315892	0.023681382	0.0298588864	0.035811588	0.0416386308	0.0474689152	0.053099668	0.10847072	0.16202864	0.21458152	0.2660803	0.31735082	0.36775284	0.41724826	0.46669766	0.5158571	0.5655677	0.6147985	0.66357226	0.71153048	0.7597542	0.80740716	0.8551304	0.90324616	0.95152332	0.9999972
/Volumes/Seagate5TB_storage/TOUA_glucs/output_gwas_assocs_lmm/toua_FrachonGeno/blup_aliphatic_assoc//lmm_maf03_BlupG2P.assoc.fixed.txt	0.916289031375711	5.505392e-18	0.000582608308	0.0031465894	0.00686914288	0.01133248	0.015998538	0.0208395352	0.0257080768	0.0307874792	0.0359149988	0.041160488	0.09592686	0.15222748	0.20648568	0.2603148	0.31354548	0.36564866	0.4170468	0.4681556	0.5185114	0.5682233	0.61754886	0.66591778	0.7143701	0.7629543	0.81115842	0.85872246	0.90595916	0.95342476	0.9999986
/Volumes/Seagate5TB_storage/TOUA_glucs/output_gwas_assocs_lmm/toua_FrachonGeno/blup_aliphatic_assoc//lmm_maf03_BlupG3B.assoc.fixed.txt	0.916892103174129	1.174005e-15	0.00277778108	0.00769746596	0.0129272584	0.0182979972	0.02381099	0.0293985712	0.0353049516	0.0411050384	0.0469610836	0.05273396	0.10755706	0.16179504	0.21573874	0.2686316	0.31986162	0.37064012	0.42064366	0.47008528	0.5183738	0.567676	0.61584456	0.66409468	0.71195262	0.7603141	0.8080334	0.85599476	0.9040442	0.95243048	0.9999977
/Volumes/Seagate5TB_storage/TOUA_glucs/output_gwas_assocs_lmm/toua_FrachonGeno/blup_aliphatic_assoc//lmm_maf03_BlupG3MSP.assoc.fixed.txt	0.943245822025946	5.422114e-10	0.00229184628	0.00602929856	0.0101414036	0.0146650768	0.01952604	0.0243111692	0.0292270664	0.0343071152	0.039267762	0.044280626	0.096716922	0.14939126	0.20293994	0.2561928	0.30874474	0.36022776	0.4112883	0.46197648	0.5124226	0.56218894	0.61153108	0.66042614	0.70947318	0.7579498	0.80618182	0.8545263	0.90289982	0.95123764	0.9999998
/Volumes/Seagate5TB_storage/TOUA_glucs/output_gwas_assocs_lmm/toua_FrachonGeno/blup_aliphatic_assoc//lmm_maf03_BlupG4MSB.assoc.fixed.txt	0.90395916609999	4.910813e-12	0.00265009516	0.00744973256	0.0126517508	0.018206608	0.02387448	0.0298467872	0.0360230924	0.042190396	0.0479663864	0.05415449	0.1124772	0.1677623	0.22067714	0.2724831	0.32335278	0.3736629	0.4229164	0.47189654	0.5213388	0.57000572	0.61917364	0.66781138	0.71552244	0.7635207	0.8113279	0.85842432	0.9056499	0.95304302	0.9999983
/Volumes/Seagate5TB_storage/TOUA_glucs/output_gwas_assocs_lmm/toua_FrachonGeno/blup_aliphatic_assoc//lmm_maf03_BlupG4P.assoc.fixed.txt	0.974766564502399	2.474069e-16	0.00244733116	0.00775203336	0.013489316	0.0188168944	0.023754816	0.0288175176	0.0338290288	0.0389072324	0.0439185016	0.049103642	0.10174548	0.15411578	0.20642232	0.2580516	0.30871342	0.3583993	0.40739968	0.45666222	0.5054587	0.55465222	0.6036122	0.65285212	0.70278582	0.7526139	0.80226014	0.85161838	0.90104598	0.95067956	0.9999963
/Volumes/Seagate5TB_storage/TOUA_glucs/output_gwas_assocs_lmm/toua_FrachonGeno/blup_aliphatic_assoc//lmm_maf03_BlupG5MSP.assoc.fixed.txt	0.984909658313696	3.573597e-19	0.00244418748	0.00749926824	0.0128168452	0.01823184	0.023562798	0.0287905792	0.03401736	0.0391323032	0.0444239248	0.04959592	0.10171718	0.15449272	0.20630286	0.2567205	0.30600194	0.35500846	0.40408276	0.45383044	0.5032523	0.55303506	0.60239656	0.6508807	0.70001334	0.7490185	0.79851204	0.8488662	0.89893768	0.94934528	0.9999984
/Volumes/Seagate5TB_storage/TOUA_glucs/output_gwas_assocs_lmm/toua_FrachonGeno/blup_aliphatic_assoc//lmm_maf03_BlupG6MSH.assoc.fixed.txt	0.998926410036379	5.855204e-07	0.0033778566	0.00776141932	0.0122702928	0.01669852	0.021076326	0.0255955136	0.0300108348	0.0345424132	0.0391321504	0.043686484	0.094179534	0.14507222	0.19466566	0.2458559	0.2979464	0.34900012	0.39976042	0.44967506	0.5002302	0.55039114	0.600187	0.6494298	0.69995462	0.7499668	0.80028672	0.85000568	0.9005091	0.95055054	0.9999942
/Volumes/Seagate5TB_storage/TOUA_glucs/output_gwas_assocs_lmm/toua_FrachonGeno/blup_aliphatic_assoc//lmm_maf03_BlupG7MSH.assoc.fixed.txt	1.02505526801219	3.41399e-07	0.00434084396	0.00888781356	0.0130217064	0.01724372	0.021653786	0.0263093704	0.03120814	0.0361592636	0.04117584	0.046081132	0.094502504	0.14494294	0.1954958	0.246341	0.29689388	0.3464985	0.3948816	0.44494024	0.4946781	0.54460356	0.59459386	0.64516266	0.69534576	0.7454036	0.79582826	0.8467313	0.89733816	0.94851782	0.9999969
