SAMPLE,ID_short,ecotype_id,pop_code
TOU-A1-2,1_2,71036,TOUA1
TOU-A1-3,1_3,71041,TOUA1
TOU-A1-4,1_4,71047,TOUA1
TOU-A1-6,1_6,71051,TOUA1
TOU-A1-7,1_7,71060,TOUA1
TOU-A1-8,1_8,71067,TOUA1
TOU-A1-9,1_9,71075,TOUA1
TOU-A1-10,1_10,71001,TOUA1
TOU-A1-12,1_12,71015,TOUA1
TOU-A1-13,1_13,71022,TOUA1
TOU-A1-14,1_14,71028,TOUA1
TOU-A1-15,1_15,71031,TOUA1
TOU-A1-16,1_16,71032,TOUA1
TOU-A1-17,1_17,71033,TOUA1
TOU-A1-18,1_18,71034,TOUA1
TOU-A1-19,1_19,71035,TOUA1
TOU-A1-23,1_23,71037,TOUA1
TOU-A1-26,1_26,71038,TOUA1
TOU-A1-27,1_27,71039,TOUA1
TOU-A1-29,1_29,71040,TOUA1
TOU-A1-33,1_33,71042,TOUA1
TOU-A1-34,1_34,71043,TOUA1
TOU-A1-37,1_37,71044,TOUA1
TOU-A1-38,1_38,71045,TOUA1
TOU-A1-39,1_39,71046,TOUA1
TOU-A1-41,1_41,71048,TOUA1
TOU-A1-43,1_43,71049,TOUA1
TOU-A1-47,1_47,71050,TOUA1
TOU-A1-60,1_60,71052,TOUA1
TOU-A1-61,1_61,71053,TOUA1
TOU-A1-62,1_62,71054,TOUA1
TOU-A1-63,1_63,71055,TOUA1
TOU-A1-65,1_65,71056,TOUA1
TOU-A1-66,1_66,71057,TOUA1
TOU-A1-67,1_67,71058,TOUA1
TOU-A1-69,1_69,71059,TOUA1
TOU-A1-73,1_73,71061,TOUA1
TOU-A1-74,1_74,71062,TOUA1
TOU-A1-75,1_75,71063,TOUA1
TOU-A1-77,1_77,71064,TOUA1
TOU-A1-78,1_78,71065,TOUA1
TOU-A1-79,1_79,71066,TOUA1
TOU-A1-80,1_80,71068,TOUA1
TOU-A1-81,1_81,71069,TOUA1
TOU-A1-82,1_82,71070,TOUA1
TOU-A1-84,1_84,71071,TOUA1
TOU-A1-85,1_85,71072,TOUA1
TOU-A1-88,1_88,71073,TOUA1
TOU-A1-89,1_89,71074,TOUA1
TOU-A1-90,1_90,71076,TOUA1
TOU-A1-91,1_91,71077,TOUA1
TOU-A1-93,1_93,71078,TOUA1
TOU-A1-96,1_96,71079,TOUA1
TOU-A1-98,1_98,71080,TOUA1
TOU-A1-105,1_105,71002,TOUA1
TOU-A1-106,1_106,71003,TOUA1
TOU-A1-109,1_109,71004,TOUA1
TOU-A1-110,1_110,71005,TOUA1
TOU-A1-111,1_111,71006,TOUA1
TOU-A1-112,1_112,71007,TOUA1
TOU-A1-113,1_113,71008,TOUA1
TOU-A1-114,1_114,71009,TOUA1
TOU-A1-115,1_115,71010,TOUA1
TOU-A1-116,1_116,71011,TOUA1
TOU-A1-117,1_117,71012,TOUA1
TOU-A1-118,1_118,71013,TOUA1
TOU-A1-119,1_119,71014,TOUA1
TOU-A1-120,1_120,71016,TOUA1
TOU-A1-122,1_122,71017,TOUA1
TOU-A1-124,1_124,71018,TOUA1
TOU-A1-125,1_125,71019,TOUA1
TOU-A1-128,1_128,71020,TOUA1
TOU-A1-129,1_129,71021,TOUA1
TOU-A1-131,1_131,71023,TOUA1
TOU-A1-133,1_133,71024,TOUA1
TOU-A1-134,1_134,71025,TOUA1
TOU-A1-137,1_137,71026,TOUA1
TOU-A1-138,1_138,71027,TOUA1
TOU-A1-141,1_141,71029,TOUA1
TOU-A1-143,1_143,71030,TOUA1
TOU-A5-3,5_3,71246,TOUA5
TOU-A5-4,5_4,71255,TOUA5
TOU-A5-5,5_5,71264,TOUA5
TOU-A5-7,5_7,71281,TOUA5
TOU-A5-8,5_8,71290,TOUA5
TOU-A5-9,5_9,71298,TOUA5
TOU-A5-11,5_11,71203,TOUA5
TOU-A5-12,5_12,71212,TOUA5
TOU-A5-13,5_13,71221,TOUA5
TOU-A5-14,5_14,71228,TOUA5
TOU-A5-15,5_15,71231,TOUA5
TOU-A5-16,5_16,71232,TOUA5
TOU-A5-17,5_17,71233,TOUA5
TOU-A5-18,5_18,71234,TOUA5
TOU-A5-19,5_19,71235,TOUA5
TOU-A5-20,5_20,71236,TOUA5
TOU-A5-21,5_21,71237,TOUA5
TOU-A5-22,5_22,71238,TOUA5
TOU-A5-23,5_23,71239,TOUA5
TOU-A5-24,5_24,71240,TOUA5
TOU-A5-25,5_25,71241,TOUA5
TOU-A5-26,5_26,71242,TOUA5
TOU-A5-27,5_27,71243,TOUA5
TOU-A5-28,5_28,71244,TOUA5
TOU-A5-29,5_29,71245,TOUA5
TOU-A5-30,5_30,71247,TOUA5
TOU-A5-33,5_33,71248,TOUA5
TOU-A5-34,5_34,71249,TOUA5
TOU-A5-35,5_35,71250,TOUA5
TOU-A5-36,5_36,71251,TOUA5
TOU-A5-37,5_37,71252,TOUA5
TOU-A5-38,5_38,71253,TOUA5
TOU-A5-39,5_39,71254,TOUA5
TOU-A5-40,5_40,71256,TOUA5
TOU-A5-41,5_41,71257,TOUA5
TOU-A5-42,5_42,71258,TOUA5
TOU-A5-43,5_43,71259,TOUA5
TOU-A5-46,5_46,71260,TOUA5
TOU-A5-47,5_47,71261,TOUA5
TOU-A5-48,5_48,71262,TOUA5
TOU-A5-49,5_49,71263,TOUA5
TOU-A5-50,5_50,71265,TOUA5
TOU-A5-51,5_51,71266,TOUA5
TOU-A5-52,5_52,71267,TOUA5
TOU-A5-53,5_53,71268,TOUA5
TOU-A5-54,5_54,71269,TOUA5
TOU-A5-55,5_55,71270,TOUA5
TOU-A5-56,5_56,71271,TOUA5
TOU-A5-57,5_57,71272,TOUA5
TOU-A5-58,5_58,71273,TOUA5
TOU-A5-59,5_59,71274,TOUA5
TOU-A5-63,5_63,71275,TOUA5
TOU-A5-64,5_64,71276,TOUA5
TOU-A5-65,5_65,71277,TOUA5
TOU-A5-67,5_67,71278,TOUA5
TOU-A5-68,5_68,71279,TOUA5
TOU-A5-69,5_69,71280,TOUA5
TOU-A5-70,5_70,71282,TOUA5
TOU-A5-72,5_72,71283,TOUA5
TOU-A5-74,5_74,71284,TOUA5
TOU-A5-75,5_75,71285,TOUA5
TOU-A5-76,5_76,71286,TOUA5
TOU-A5-77,5_77,71287,TOUA5
TOU-A5-78,5_78,71288,TOUA5
TOU-A5-79,5_79,71289,TOUA5
TOU-A5-83,5_83,71291,TOUA5
TOU-A5-84,5_84,71292,TOUA5
TOU-A5-85,5_85,71293,TOUA5
TOU-A5-86,5_86,71294,TOUA5
TOU-A5-87,5_87,71295,TOUA5
TOU-A5-88,5_88,71296,TOUA5
TOU-A5-89,5_89,71297,TOUA5
TOU-A5-90,5_90,71299,TOUA5
TOU-A5-91,5_91,71300,TOUA5
TOU-A5-92,5_92,71301,TOUA5
TOU-A5-93,5_93,71302,TOUA5
TOU-A5-94,5_94,71303,TOUA5
TOU-A5-95,5_95,71304,TOUA5
TOU-A5-99,5_99,71305,TOUA5
TOU-A5-102,5_102,71196,TOUA5
TOU-A5-103,5_103,71197,TOUA5
TOU-A5-104,5_104,71198,TOUA5
TOU-A5-106,5_106,71199,TOUA5
TOU-A5-107,5_107,71200,TOUA5
TOU-A5-108,5_108,71201,TOUA5
TOU-A5-109,5_109,71202,TOUA5
TOU-A5-110,5_110,71204,TOUA5
TOU-A5-112,5_112,71205,TOUA5
TOU-A5-113,5_113,71206,TOUA5
TOU-A5-114,5_114,71207,TOUA5
TOU-A5-116,5_116,71208,TOUA5
TOU-A5-117,5_117,71209,TOUA5
TOU-A5-118,5_118,71210,TOUA5
TOU-A5-119,5_119,71211,TOUA5
TOU-A5-120,5_120,71213,TOUA5
TOU-A5-121,5_121,71214,TOUA5
TOU-A5-123,5_123,71215,TOUA5
TOU-A5-124,5_124,71216,TOUA5
TOU-A5-125,5_125,71217,TOUA5
TOU-A5-126,5_126,71218,TOUA5
TOU-A5-127,5_127,71219,TOUA5
TOU-A5-128,5_128,71220,TOUA5
TOU-A5-132,5_132,71222,TOUA5
TOU-A5-133,5_133,71223,TOUA5
TOU-A5-134,5_134,71224,TOUA5
TOU-A5-135,5_135,71225,TOUA5
TOU-A5-136,5_136,71226,TOUA5
TOU-A5-137,5_137,71227,TOUA5
TOU-A5-140,5_140,71229,TOUA5
TOU-A5-143,5_143,71230,TOUA5
TOU-A6-1,6_1,71081,TOUA6
TOU-A6-2,6_2,71111,TOUA6
TOU-A6-3,6_3,71122,TOUA6
TOU-A6-4,6_4,71133,TOUA6
TOU-A6-5,6_5,71144,TOUA6
TOU-A6-6,6_6,71154,TOUA6
TOU-A6-7,6_7,71165,TOUA6
TOU-A6-8,6_8,71176,TOUA6
TOU-A6-9,6_9,71187,TOUA6
TOU-A6-10,6_10,71082,TOUA6
TOU-A6-11,6_11,71093,TOUA6
TOU-A6-12,6_12,71103,TOUA6
TOU-A6-13,6_13,71104,TOUA6
TOU-A6-14,6_14,71105,TOUA6
TOU-A6-15,6_15,71106,TOUA6
TOU-A6-16,6_16,71107,TOUA6
TOU-A6-17,6_17,71108,TOUA6
TOU-A6-18,6_18,71109,TOUA6
TOU-A6-19,6_19,71110,TOUA6
TOU-A6-20,6_20,71112,TOUA6
TOU-A6-21,6_21,71113,TOUA6
TOU-A6-22,6_22,71114,TOUA6
TOU-A6-23,6_23,71115,TOUA6
TOU-A6-24,6_24,71116,TOUA6
TOU-A6-25,6_25,71117,TOUA6
TOU-A6-26,6_26,71118,TOUA6
TOU-A6-27,6_27,71119,TOUA6
TOU-A6-28,6_28,71120,TOUA6
TOU-A6-29,6_29,71121,TOUA6
TOU-A6-30,6_30,71123,TOUA6
TOU-A6-31,6_31,71124,TOUA6
TOU-A6-32,6_32,71125,TOUA6
TOU-A6-33,6_33,71126,TOUA6
TOU-A6-34,6_34,71127,TOUA6
TOU-A6-35,6_35,71128,TOUA6
TOU-A6-36,6_36,71129,TOUA6
TOU-A6-37,6_37,71130,TOUA6
TOU-A6-38,6_38,71131,TOUA6
TOU-A6-39,6_39,71132,TOUA6
