"","gene_id","blups.tou.m10","blups.bra.full","blups.bra.192","blups.kat.full","blups.kat.192","blups.wu.full","blups.wu.192","ratios.tou.m10","ratios.bra.full","ratios.bra.192","ratios.kat.full","ratios.kat.192","ratios.wu.full","ratios.wu.192"
"1","AT1G12130",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"2","AT1G12140",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"3","AT1G12160",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"4","AT1G16400",5.505392e-18,Inf,Inf,7.149207e-21,3.943082e-13,Inf,Inf,2.391523e-19,Inf,Inf,Inf,Inf,Inf,Inf
"5","AT1G16410",5.505392e-18,Inf,Inf,7.149207e-21,3.943082e-13,Inf,Inf,2.391523e-19,Inf,Inf,Inf,Inf,Inf,Inf
"6","AT1G18590",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"7","AT1G24100",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"8","AT1G50110",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"9","AT1G58260",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"10","AT1G62540",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"11","AT1G62560",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"12","AT1G62570",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"13","AT1G65860",1.395645e-09,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"14","AT1G74090",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"15","AT1G74100",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"16","AT1G78370",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"17","AT1G79370",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"18","AT2G20610",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"19","AT2G25450",Inf,1.099515e-23,1.157534e-17,Inf,Inf,4.956262e-13,8.612429e-14,2.065129e-11,1.376402e-13,Inf,1.623308e-09,Inf,Inf,Inf
"20","AT2G31790",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"21","AT2G43100",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"22","AT3G03190",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"23","AT3G19710",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"24","AT3G49680",4.368906e-09,Inf,Inf,Inf,Inf,Inf,Inf,5.356244e-16,Inf,Inf,Inf,Inf,Inf,Inf
"25","AT3G58990",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"26","AT4G03050",Inf,6.362232e-82,4.611438e-34,6.680653e-33,1.899558e-09,6.816599e-125,5.262172e-63,3.205191e-09,2.474335e-26,Inf,2.570967e-26,9.638294e-11,5.256914e-25,5.674545e-20
"27","AT4G03060",Inf,6.362232e-82,4.611438e-34,6.680653e-33,1.899558e-09,6.816599e-125,5.262172e-63,3.205191e-09,2.474335e-26,Inf,2.570967e-26,9.638294e-11,5.256914e-25,5.674545e-20
"28","AT4G13430",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"29","AT4G13770",3.831281e-10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"30","AT4G30530",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"31","AT5G14200",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"32","AT5G23010",3.573597e-19,1.862087e-30,2.438843e-18,3.322235e-87,7.541764e-38,1.339525e-33,2.278337e-24,2.715677e-24,8.408823e-35,8.901273e-19,1.035279e-62,3.279797e-25,3.91007e-28,1.898352e-22
"33","AT5G23020",3.573597e-19,1.862087e-30,2.438843e-18,3.322235e-87,7.541764e-38,1.339525e-33,2.278337e-24,2.715677e-24,8.408823e-35,8.901273e-19,1.035279e-62,3.279797e-25,3.91007e-28,1.898352e-22
